text,label
Internship Digital Marketer,marketing assistant
Marketing Executive,marketing assistant
MARKETING STAFF,marketing assistant
Sales representations,marketing assistant
Marketing & Business Development Executive,marketing assistant
MARKETING ASSISTANT (SELANGOR),marketing assistant
Sales and Marketing Snr. Executive ,marketing assistant
marketing trainee,marketing assistant
MARKETING EXECUTIVE IN PENANG,marketing assistant
MARKETING MANAGER SECRETARY,marketing assistant
 Business Studies / Marketing,marketing assistant
MARKETING ASSISTANT ,marketing assistant
Internship (Marketing),marketing assistant
AKLA Apprentice - Marketing,marketing assistant
Marketing Assistant Manager,marketing assistant
Fashion Executive,marketing assistant
Marketing officer for Resort,marketing assistant
Marketer ,marketing assistant
M&P Executive / Officer,marketing assistant
marketing internship practical,marketing assistant
Marketing (Livestream),marketing assistant
Marketing Admin Assistant,marketing assistant
Marketing cum Merchandising Executive,marketing assistant
Intern (Marketing),marketing assistant
Apprentice Corporate Marketing - RM1000* | FOC Monthly Activ,marketing assistant
IT AND MARKETING,marketing assistant
Student Recruitment Officer (Marketing),marketing assistant
Admin Support (Marketing & Trading),marketing assistant
 Photography / Video Editing,marketing assistant
ASSISTANT MARKETING MANAGER ,marketing assistant
Marketing Apprenticeship,marketing assistant
Digital Marketing/Social Media Executive,marketing assistant
Online and Offline Marketing Executive,marketing assistant
Marketing Communication Assistant Manager,marketing assistant
Digital Marketing assistant,marketing assistant
Marketing Supervisor,marketing assistant
MARKETING & ADMIN CLERK ,marketing assistant
Influencer Media Sosial,marketing assistant
Apprentice For Marketing - RM1000* | FOC Monthly Activities,marketing assistant
Sale & Marketing,marketing assistant
Internship ,marketing assistant
Digital Executive Marketing,marketing assistant
Marketing (Trainee),marketing assistant
Marketing Officer/Executive,marketing assistant
Assistant Marketers - Real Estate,marketing assistant
Assistant Marketing Officer / Life Planner-Elite,marketing assistant
Real Estate Start Up Programme,marketing assistant
MARKETING TRAINEES,marketing assistant
"Sales Marketing di Hong Li Mobile Accessories, Paka Trg ",marketing assistant
"Assistant Manager / Senior Executive, Sales Admin",marketing assistant
Marketing Assistant (Cason Group),marketing assistant
Marketing & Digital Content Intern,marketing assistant
Field Sales & Marketing,marketing assistant
Marketing assistant,marketing assistant
SALES  EXECUTIVE,marketing assistant
Brand Marketing (CTDP Internship),marketing assistant
Marketing / IT,marketing assistant
Maintenance and Marketing Associate,marketing assistant
MARKETING ASSITANT,marketing assistant
INTERNSHIP OTA/MARKETING,marketing assistant
Sale Manager ,marketing assistant
IPOH Real Estate Start Up Programme!,marketing assistant
Business & Marketing,marketing assistant
Marketing Trader ,marketing assistant
MARKETING & SALES EXECUTIVE ( BASED IN JB ),marketing assistant
Junior Marketing,marketing assistant
Marketing - Executive,marketing assistant
Marketing / IT Executive ,marketing assistant
Apprentice Marketing,marketing assistant
Markerting ,marketing assistant
MARKETING EXECUTIVE ( LAVENDER ),marketing assistant
E - Commerce / Digital Marketing Executive,marketing assistant
Marketing Trainee,marketing assistant
Social Media Executive cum Graphic Design,marketing assistant
Real Estate Property Start Up Programme【MCO3.0 房地产创业金】,marketing assistant
Assistant Marketing Manager ,marketing assistant
MARKETING CUM ADMIN ASSISTANT,marketing assistant
 Management Trainee - Brand Executive,marketing assistant
Intern / Trainee (Digital Marketing & E-Commerce),marketing assistant
Indoor Marketing Executive,marketing assistant
Sales Representative (frozen food),marketing assistant
Market Research Analyst,marketing assistant
AMS APPRENTICE - Marketing,marketing assistant
Trainer in Business Accounting and Marketing,marketing assistant
Online marketing executive (Fashion),marketing assistant
EXECUTIVE MARKETING,marketing assistant
Marketing/ Communication Executive,marketing assistant
Internship - Marketing,marketing assistant
MARKETING INTERN,marketing assistant
Marketing Support Executive (DV 41),marketing assistant
SALES Executive ,marketing assistant
Tele Marketing (Commission Provided),marketing assistant
"EXECUTIVE, MARKETING & COMMUNICATION",marketing assistant
Contract - Marketing Assistant,marketing assistant
EXECUTIVE – MARKETING &  COMMUNICATIONS,marketing assistant
Senior marketing executive,marketing assistant
Social Marketing,marketing assistant
Marketing and Content Assistant (intern/Apprentice),marketing assistant
Merchandiser & promoter,marketing assistant
Marketing Assistance,marketing assistant
SALES AND MARKETING PERSONAL,marketing assistant
digital marketing,marketing assistant
Marketing and sales,marketing assistant
Digital Marketing Intern,marketing assistant
Marketing Officer,marketing assistant
Go-To-Market Officer,marketing assistant
MARKETING SUPERVISOR,marketing assistant
Sales and Marketting Leader,marketing assistant
Assistance Marketing Executive,marketing assistant
Assistant Marketing Executive,marketing assistant
Communication Officer,marketing assistant
ASST ADMIN EXEC,marketing assistant
MARKETING ASSISTANT (APPRENTICESHIP),marketing assistant
Marketing & Sales Executive,marketing assistant
Marketing Associate (Mandarin Speaker) - Glenmarie Shah Alam,marketing assistant
SALES AND MARKETING REPRESENTATIVE,marketing assistant
Marketing Asistant Manager,marketing assistant
SENIOR SALES MANAGER,marketing assistant
Business Marketing,marketing assistant
Marketing Analyst,marketing assistant
Marketing & Business developement,marketing assistant
Junior Marketing ,marketing assistant
intern staff ,marketing assistant
MARKETING SALES ASSISTANT ,marketing assistant
Marketing cum designer,marketing assistant
MARKETING ADMINISTRATIVE,marketing assistant
Apprentice - Business Development.,marketing assistant
Marketing Excecutive,marketing assistant
Marketing & Project Assistant,marketing assistant
Admin and Marketing Assistant,marketing assistant
Apprentice of Digital Marketing,marketing assistant
Trade Marketing Executive,marketing assistant
Digital Marketing & Support Executive,marketing assistant
Marketing & Operation Executive,marketing assistant
MARKETING TRAINEE,marketing assistant
MARKETING ,marketing assistant
Marketing Assistance ,marketing assistant
Content Writer cum Marketing Assistant,marketing assistant
Marketing  Intern ,marketing assistant
Service Marketing,marketing assistant
Sales & Marketing Officer,marketing assistant
Affiliates Marketing,marketing assistant
Marketing and Business Development Executive,marketing assistant
MARKET EXECUTIVE,marketing assistant
Marketing & Retail2,marketing assistant
Junior Marketing Representative,marketing assistant
MARKETING ASSISTANT,marketing assistant
Internship (Mass Communication / Marketing),marketing assistant
Marketing Executive (Intern),marketing assistant
SALESPERSON/MARKETING/PACKGING /CLEANER,marketing assistant
Sales & Marketing Education,marketing assistant
Digital & Marketing Assistant,marketing assistant
Marketing and Sales Assistant,marketing assistant
Marcom Executive,marketing assistant
INTERNSHIP PROGRAM,marketing assistant
Marketing Trainee/Executive ,marketing assistant
Sales Account Executive,marketing assistant
Product Marketing Intern (Shopline LIVE),marketing assistant
INTERNSHIP FOR MARKETING/BUSINESS STUDENT,marketing assistant
MARKETING DIGITAL ASSISTANT,marketing assistant
Assistant Manager of Student Recruitment,marketing assistant
Marketing Executive (Sg Buloh),marketing assistant
PENGAMBILAN SEGERA MARKETING EXECUTIVE,marketing assistant
Marketing Assistant ,marketing assistant
Web Designer cum Sales Assistant,marketing assistant
MARKETING PLANNER,marketing assistant
INTERN - MARKETING,marketing assistant
Marketing cum Social Media Executive,marketing assistant
Marketing cum Administrative Executive,marketing assistant
Supervisor(Johor),sales assistant
Corporate Sales Specialist,sales assistant
SALES  & MARKETING - SERIAN,sales assistant
Wellness Coach,sales assistant
SALES ASSISTANT - IBN,sales assistant
SALESMAN/SALES ASSOCIATES,sales assistant
"SALES COORDINATOR (BANDAR TEKNOLOGI KAJANG) 1,800.00-2,300.0",sales assistant
"Retail Assistant @ Queensbay Mall, Penang",sales assistant
SALES  & MARKETING - KAPIT,sales assistant
Salesperson / Sales Manager / Baker,sales assistant
Sales Consultant,sales assistant
CLERK AND SALES ASSISTANT,sales assistant
Retail Transport Assistant,sales assistant
Female Retail Associate,sales assistant
SUPERVISOR  ,sales assistant
RETAIL SALES EXECUTIVE,sales assistant
Internship for Marketing cum Sales Executive,sales assistant
SHOP SALES ASSISTANT,sales assistant
Real Estate Sales ,sales assistant
Assistant Branch Manager(Johor),sales assistant
Senior Retail Assistant,sales assistant
Sales Executive (Technical),sales assistant
INTERN - SALES,sales assistant
sales & marketing executive,sales assistant
PROMOTER @ AEON SHAH ALAM,sales assistant
RETAIL CONSULTANT/PEMBANTU JUALAN,sales assistant
Retail Associate,sales assistant
Sales Assistant (Indoor),sales assistant
Sales Assist,sales assistant
Sales Assistant / Pharmacist Assistant,sales assistant
SALES SENIOR EXECUTIVE,sales assistant
customer services,sales assistant
Sale Assistant ,sales assistant
USED CAR SALESMAN ,sales assistant
FLOOR ASSISTANT (MALE) - LUAK BAY,sales assistant
salesman assistant,sales assistant
Retail Assistant (JB),sales assistant
Retail Associate (KL/PJ),sales assistant
RETAIL FASHION ASSOCIATE-MITSUI OUTLET SEPANG,sales assistant
Assistant Sales Manager,sales assistant
Apple Sales Assistant (iTworld Tropicana Gardens Mall),sales assistant
Sale Admin Baling,sales assistant
Retail Sales Associate,sales assistant
PROMOTER @ 1UTAMA,sales assistant
Customer Experience - Sales,sales assistant
Pharmacy Retail Assistant ,sales assistant
Counter Sales Assistant ,sales assistant
retail assistant,sales assistant
SALES CORDINATOR CUM ADMIN,sales assistant
INDOOR & OUTDOOR SALES,sales assistant
senior sales,sales assistant
Sales Consultant (109 Kepong),sales assistant
Sale  Assistant,sales assistant
STORE ASSOCIATE,sales assistant
SALES  & MARKETING - MELAKA,sales assistant
Sales Assistant (Putrajaya),sales assistant
Sales Consultant  - Puchong / Kota Damansara,sales assistant
DROPSHIP AGENT,sales assistant
RETAIL FASHION ASSOCIATE-HLA CONCEPT STORE IOI PUTRAJAYA,sales assistant
SALES ADVISOR - PAVILION AREA,sales assistant
Sales  Senior Executive ,sales assistant
Van Sales  in KL + Selangor ( GDL needed ),sales assistant
Sales Associates ,sales assistant
Sales Exe,sales assistant
BOUTIQUE ASSISTANT,sales assistant
Counter Sales,sales assistant
Sale Executive - Insurance,sales assistant
OPTICAL SALES ASSISTANT,sales assistant
Counter Sales ,sales assistant
Pembantu kedai hardware / Hardware retail assistant,sales assistant
Counter Retail Sales Person,sales assistant
SALESGIRL,sales assistant
Sales Admin Clerk,sales assistant
Sales Admin ,sales assistant
Sales Cum Warehouse Assistant ,sales assistant
Urgent Vacancy Senawang Sales Executive,sales assistant
Retail Showroom Manager,sales assistant
Hire outdoor sales assistant state Johor and Malacca ,sales assistant
Sale Coordinator,sales assistant
Retail Assistant #MNS,sales assistant
"Supervisor, Outlet Operations (KL/Selangor/Penang))",sales assistant
PRODUCT SPECIALIST,sales assistant
Sales Assistant - Tawau Outlet,sales assistant
Sales assistant 02,sales assistant
Retail Operation Assistant,sales assistant
Retail Assistant & Kitchen Helper,sales assistant
SALESMAN,sales assistant
Sales Assistant in Shopping Mall,sales assistant
SALES CUM PRODUCTION COORDINATOR,sales assistant
Boutique Sales Assistant,sales assistant
Shift Manager,sales assistant
Retail Assistant - Pet Store (Bandar Putra Permai),sales assistant
Retail Operation Associate,sales assistant
General Staff Komai-so Shop AEON Cheras Selatan,sales assistant
SALE ADMIN TASEK GELUGOR,sales assistant
Retail Sales Assistance,sales assistant
 Retail Assistant,sales assistant
Sales assistant (Close sales daripada leads yang masuk),sales assistant
SALE SUPERVISOR,sales assistant
Medical Device Sales Representative,sales assistant
Sales and Marketing Internship,sales assistant
RETAIL EXECUTIVE,sales assistant
Boutique Sales Associate,sales assistant
Retail Assistant @ IPC Shopping Mall,sales assistant
Retail Sales Assistant (Trainee),sales assistant
"Sales Assistant, General Workers",sales assistant
Wellness advisor,sales assistant
Sales Coordinator (Hotel),sales assistant
JUNIOR SALES REPRESENTATIVES,sales assistant
Sale Admin Taiping,sales assistant
Retail Assistant @ Rivercity ,sales assistant
RETAIL FASHION ASSOCIATE-SUNWAY PUTRA,sales assistant
Sales Coordinators and Planner,sales assistant
Distributor Sales Representative - Penang,sales assistant
Retail Associate / Cashier,sales assistant
Retail Assistant / Cashier,sales assistant
Retail Assistant @ Bangsar Village 1,sales assistant
Full Time Job,sales assistant
Sales assistant 03,sales assistant
Sales Executive (Protege),sales assistant
Warranty Associates,sales assistant
Supervisor (Perishable),sales assistant
"Executive - Sales & Marketing, UDA Land (East) Sdn. Bhd.",sales assistant
Retail Assistant - Pet Store (Jenjarom),sales assistant
SALES  & MARKETING - SARIKEI,sales assistant
Sales Assistant (SenQ One Utama),sales assistant
Salesgirl,sales assistant
kerani kaunter,sales assistant
Inside Sale,sales assistant
Sales Executive (Perfumery and Fragrance),sales assistant
Sales and Stock Assistant,sales assistant
Supermarket Sales Assistant,sales assistant
